,愉悦,悲伤,愤怒,惊讶,厌恶,蔑视,恐惧,害羞,绝望,愧疚
惭愧,0,0.2,0,0,0,0,0,0.7,0,0.9
丢脸,0,0.3,0,0,0,0,0,0.8,0,0.7
丢人,0,0.5,0,0,0,0,0,0.9,0,0.6
丢丑,0,0.3,0,0,0,0,0,0.6,0,0.7
害羞,0,0,0,0,0,0,0,1,0,0
亏心,0,0.2,0,0,0,0,0,0.8,0,0.6
腼腆,0,0.3,0,0,0,0,0,0.9,0,0.5
难堪,0,0.4,0,0,0,0,0,0.6,0,0.8
难看,0,0.8,0.6,0,0,0,0,0,0.6,0
怕羞,0,0.6,0,0,0,0,0,0.9,0,0.6
羞耻,0,0.3,0,0,0,0,0,0.8,0.6,0.6
羞辱,0,0.2,0,0,0,0,0,0.6,0.7,0.7
悔悟,0,0.4,0,0,0,0,0.2,0.3,0.8,0.6
忏悔,0,0.4,0,0,0,0,0.3,0,0.8,0.7
后悔,0,0.4,0,0,0,0,0,0,0.8,0
过意不去,0,0.4,0,0,0,0,0,0,0,0.8
内疚,0,0.5,0,0,0,0,0,0,0,0.9
吃惊,0,0,0.2,0.9,0,0,0,0,0,0
好奇,0.3,0,0,0,0,0,0,0.4,0,0
惊讶,0.2,0,0,1,0,0,0,0,0,0
震惊,0.2,0,0,0.9,0,0,0,0,0.2,0
警惕,0,0.3,0,0.4,0,0,0.6,0,0.2,0
怀疑,0,0.2,0,0.5,0,0,0.6,0,0,0
可疑,0,0.2,0,0.4,0.4,0,0.5,0,0,0
困惑,0,0.2,0,0,0.6,0,0,0,0,0
迷茫,0,0.5,0,0,0,0,0.5,0.2,0.5,0
为难,0,0.4,0,0,0,0,0.6,0.3,0.4,0
无所适从,0,0.4,0,0,0,0,0.6,0.2,0.5,0
敬仰,0.5,0,0,0,0,0,0,0.5,0,0
敬重,0.3,0,0,0,0,0,0,0.4,0,0
佩服,0.4,0,0,0,0,0,0,0.3,0,0
仰慕,0.4,0,0,0,0,0,0,0.3,0,0
尊敬,0.3,0,0,0,0,0,0,0.4,0,0
尊重,0.2,0,0,0,0,0,0,0.3,0,0
赞赏,0.6,0,0,0,0,0,0,0.4,0,0
赞美,0.7,0,0,0,0,0,0,0.4,0,0
赞叹,0.5,0,0,0,0,0,0,0.5,0,0
感动,0.6,0,0,0,0,0,0,0.4,0,0
可怜,0,0.5,0,0,0,0,0,0.5,0,0
可惜,0,0.6,0,0,0,0,0,0,0.5,0.6
惋惜,0,0.7,0,0,0,0,0,0,0.4,0.5
心疼,0,0.6,0,0,0,0,0,0,0.4,0.6
怀念,0.2,0.6,0,0,0,0,0,0,0.2,0
牵挂,0.1,0.6,0,0,0,0,0,0,0,0
想念,0.2,0.6,0,0,0,0,0,0.2,0,0
藐视,0,0,0.2,0.2,0.6,0.9,0,0,0,0
轻视,0,0,0.1,0.1,0.5,0.8,0,0,0,0
如意,0.8,0,0,0,0,0,0,0,0,0
如愿,0.9,0,0,0,0,0,0,0,0,0
顺心,0.9,0,0,0,0,0,0,0,0,0
随心,0.7,0,0,0,0,0,0,0,0,0
随意,0.6,0,0,0,0,0,0,0,0,0
幸福,0.9,0,0,0,0,0,0,0,0,0
